Bwd Packet Length Std,Fwd Header Length,PSH Flag Count,Total Length of Fwd Packets,Average Packet Size,Label
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855825,0,9.30E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,1.45E-05,0.04880137,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002054795,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
0,0.999855824,0,4.65E-07,0.002311644,0
